Date,ticker,Positive_Prob,Negative_Prob,Neutral_Prob,Sentiment_Score,Article_Count,Positive_Count,Negative_Count,Neutral_Count,Has_News
2026-07-19,PG,0.03794583,0.048101533,0.9139526,-0.010155704,1,0,0,1,1
2026-07-20,PG,0.1627316,0.44526333,0.39200506,-0.2825317,7,1,3,3,1
2026-07-21,PG,0.29543877,0.11226646,0.5922948,0.18317232,7,2,1,4,1
2026-07-22,PG,0.059909157,0.48184767,0.45824316,-0.4219385,2,0,1,1,1
2026-07-23,PG,0.5022786,0.034246452,0.46347493,0.46803218,4,2,0,2,1
2026-07-24,PG,0.062217187,0.38069075,0.5570921,-0.31847358,5,0,2,3,1
2026-07-25,PG,0.03588176,0.084750645,0.87936765,-0.048868883,1,0,0,1,1
2026-07-26,PG,0.11734609,0.26002282,0.6226311,-0.14267674,4,0,1,3,1
2026-07-27,PG,0.31868377,0.32899985,0.35231638,-0.010316089,16,4,6,6,1
2026-07-28,JNJ,0.4429558,0.18652125,0.37052298,0.25643456,10,6,2,2,1
2026-07-28,PG,0.21974035,0.30898905,0.47127062,-0.08924867,7,2,2,3,1
2026-07-29,JNJ,0.29711208,0.22537781,0.47751015,0.07173425,19,6,4,9,1
2026-07-29,PG,0.20422076,0.51279896,0.28298023,-0.30857825,53,11,27,15,1
2026-07-30,JNJ,0.5074924,0.2598031,0.23270448,0.24768935,16,9,4,3,1
2026-07-30,PG,0.25198337,0.47489867,0.27311796,-0.22291529,23,5,12,6,1
2026-07-31,JNJ,0.5863706,0.24382576,0.16980363,0.34254488,13,8,3,2,1
2026-07-31,PG,0.17692845,0.30703884,0.5160327,-0.13011038,4,1,1,2,1
2026-07-31,XOM,0.41118452,0.3831416,0.20567386,0.02804291,53,24,20,9,1
2026-08-01,JNJ,0.012416914,0.96967244,0.017910657,-0.95725554,1,0,1,0,1
2026-08-01,PG,0.053391263,0.87415373,0.072454974,-0.8207625,2,0,2,0,1
2026-08-01,XOM,0.656751,0.18693183,0.15631717,0.46981916,3,2,1,0,1
2026-08-02,JNJ,0.770856,0.012565289,0.21657869,0.75829077,2,2,0,0,1
2026-08-02,XOM,0.3909002,0.4435769,0.16552284,-0.05267673,5,2,3,0,1
2026-08-03,JNJ,0.41743493,0.17392813,0.40863693,0.24350683,19,8,3,8,1
2026-08-03,JPM,0.5516686,0.10942907,0.33890232,0.44223955,9,6,1,2,1
2026-08-03,PG,0.097881675,0.16160893,0.74050933,-0.06372727,6,0,0,6,1
2026-08-03,XOM,0.27314544,0.45203996,0.27481458,-0.17889453,19,5,10,4,1
2026-08-04,JNJ,0.4381635,0.15816091,0.4036756,0.2800026,13,6,1,6,1
2026-08-04,JPM,0.4675731,0.15723136,0.37519553,0.31034178,20,10,3,7,1
2026-08-04,PG,0.32983014,0.16163526,0.5085346,0.16819488,18,6,3,9,1
