ticker,publishedAt,headline,summary,source,category,image,url
PG,2026-08-04 17:00:00,Thorne Enters into Definitive Agreement to Be Acquired by Procter & Gamble,"Thorne, the leader in science-backed health and wellness solutions, today announced that it has entered into a definitive agreement to be acquired by The Procter & Gamble Company (NYSE: PG).",Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=86d5da13456ec47f85cb8e4cda599ad180ab7840d43aeb0cb70ae217cf4be50e
PG,2026-08-04 17:07:18,P&G Reportedly Set To Acquire Thorne In A $3.8B Deal – CEO Jejurikar Says Firm Is ‘Really Happy With The Asset’,Thorne went public in late 2021 at a $525 million valuation but was taken private by asset manager L Catterton in 2023 in a $680 million transaction.,Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=d391eb45135b45a88967e3ae3acf9e636a60771e5b5d6c1f0355ff149dbbdb09
PG,2026-08-04 17:15:09,"Procter & Gamble to acquire Thorne for $3.8 billion, CEO says","Investing.com -- Procter & Gamble Co. reached an agreement to acquire supplement maker Thorne for $3.8 billion, with the deal set to be announced later today.",Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=ebd59b105c2fde14584e840f9d28bed27747c8acff92673613254ec36de6dc24
PG,2026-08-04 17:31:35,P&G to acquire supplement brand Thorne for $3.8 billion,"The deal, set to close later this year, would add Thorne to P&G's existing supplements portfolio that includes Metamucil, Align Probiotic, and New Chapter",Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=91609ab5e78012793d99cc722e4b992456148aec8b0fe303c8068c4807005233
PG,2026-08-04 17:45:00,L Catterton Announces Sale of Thorne to The Procter & Gamble Company for $3.8 Billion,"L Catterton, the largest global consumer-focused investment firm, today announced that it has signed a definitive agreement to sell Thorne, a leader in science-backed health and wellness solutions, to The Procter & Gamble Company (NYSE: PG) for $3.8 billion in cash. This follows a successful partnership that accelerated the Company's growth and further strengthened its leadership in the wellness category.",Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=0400e03d3dd5b863ca9a502ad6707ed1da36e0217caf9db247af55effaa291f0
PG,2026-08-04 17:50:54,"P&G to buy supplements maker Thorne for $3.8B, CEO says","Procter & Gamble is acquiring supplements maker Thorne for $3.8 billion, CEO Shailesh Jejurikar told CNBC.",Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=04d84a0e0d4355b794621da6ea2d40489be699514f13724b341338b76fed47cc
PG,2026-08-04 18:04:27,"Procter & Gamble to Acquire Thorne for $3.8B, Expanding Personal Health Care Portfolio",The acquisition bolsters P&G's presence in the premium wellness space.,Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=e6e3b2f7baa58878f94d269e7934e2ad5938b6dcae12f81b5ae04a14699962fa
PG,2026-08-04 18:06:48,"VDC: The 2026 Staples Rotation Is Real, But GLP-1s Are Eating The Aisle, Hold","Vanguard Consumer Staples ETF (VDC) rated Hold: full valuation, 2.1% yield, GLP-1 demand headwinds, and pricey top holdingsâsee the key risks now.",SeekingAlpha,company,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1257380452/image_1257380452.jpg?io=getty-c-w1536,https://finnhub.io/api/news?id=a61988bbace530db25cd15b2db3575194c6fe707c2933eb10bf032aa805cda67
PG,2026-08-04 19:10:04,Which dow jones stocks are moving on Tuesday?,Curious about the dow jones stocks that are in motion on Tuesday? Join us as we explore the top movers within the dow jones index during today's session.,ChartMill,company,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,https://finnhub.io/api/news?id=483f966e3fec03d644b725993e1e9c6afeda8b616f07640dda8da731c09bf0d0
PG,2026-08-04 19:54:03,See how P&G's $3.8B deal for Thorne compares to its past acquisitions,So how does the new deal stack up to P&G’s biggest deals ever?,Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=6d72615301424669ae480d5a0b0ce38af98ece033508a9828fde36fa78c3c985
PG,2026-08-04 22:10:07,Procter & Gamble (PG) Agrees To Buy Thorne For $3.8 Billion,"Procter & Gamble (NYSE:PG) agreed to acquire Thorne, a science-focused wellness supplements company. The transaction values Thorne at US$3.8b and expands PG into premium health and wellness categories. The deal centers on vitamins, minerals, and supplements as an extension of PG's existing health portfolio. For investors tracking Procter & Gamble, this move pushes the company further into consumer health and wellness rather than relying only on traditional household and personal care...",Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=3926e9dc5d18ca5d7eba50d5f5b2c47c6606a6f55e5b993c63bc575c6d95e94f
PG,2026-08-04 23:43:28,"How Much Do You Really Need Invested to Replace a $100,000 Salary With Dividends?","Replacing a six-figure salary with dividends is a math problem first, and the capital requirement swings by more than a million dollars depending on one variable most investors treat as an afterthought.",Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=760ff458c72ca13720f443f594d6629cbea45237b6d479e30ca7d32fe7bf3512
PG,2026-08-05 09:10:04,"Dividends vs. an Annuity: Which Turns $675,000 Into More Monthly Income for Life?","Annuity payouts are the most competitive they have been in years, which makes the timing of this comparison unusually consequential for anyone sitting on a $675,000 nest egg and trying to decide which structure actually puts more money in their pocket for life.",Yahoo,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=bccb2c1b68ad383e4caedda432b8139db37db17d83898169bb7534530ed6d896
