Ticker,RMSE,MAE,MAPE,R2,Directional_Accuracy,Model
AAPL,0.0155861710162524,0.010999909602105618,144.2183,-0.0005935430526733398,54.054054054054056,Transformer
ALL,0.017907305545719034,0.012670368887484074,184.95457,-0.0010105371475219727,52.87162162162162,Transformer
AMZN,0.02076526803722727,0.014816909097135067,142.57483,0.015206336975097656,51.01351351351351,LSTM
GOOGL,0.019581166199110784,0.014095291495323181,115.03185,-0.0018732547760009766,52.36486486486487,Transformer
JNJ,0.011705218141709094,0.008722047321498394,126.5269,-0.00572359561920166,54.729729729729726,Transformer
JPM,0.01365880628958273,0.01033877208828926,120.46415,-0.00012576580047607422,56.41891891891891,Transformer
META,0.02395762786094363,0.016080062836408615,128.27156,-0.0037511587142944336,58.445945945945944,LSTM
MSFT,0.018889468761110795,0.012539726682007313,153.82396,-0.004290461540222168,50.33783783783784,Transformer
NVDA,0.022257700407084698,0.017374033108353615,118.992,-0.0009883642196655273,53.04054054054054,Transformer
PG,0.011997764466014332,0.009467639029026031,335.5484,-0.004045009613037109,49.32432432432432,LSTM
XOM,0.015638044247039327,0.01207091473042965,415.72046,-0.0012340545654296875,56.41891891891891,Transformer
