Ticker,RMSE,MAE,MAPE,R2,Directional_Accuracy,Model
AAPL,0.01881341835838137,0.01226197681348321,113.45502818782624,0.042639174775972344,53.08988764044944,RandomForest
ALL,0.01930424669841928,0.013312003908714622,181.48525698732337,0.016122176250282005,52.934537246049665,RandomForest
AMZN,0.022476692232407242,0.015717744567288937,108.37026076884658,0.003906694826699142,50.56179775280899,RandomForest
GOOGL,0.02053508250430523,0.014889173535406447,111.72020464864872,0.004385477952113304,52.52808988764045,RandomForest
JNJ,0.0123403698981861,0.008942848487623035,120.89670806581094,0.035005321270826006,55.89887640449438,RandomForest
JPM,0.015059800748835034,0.010866370164652962,330.4759489821147,0.0256087762771815,54.7752808988764,RandomForest
META,0.025755608382377837,0.0173737178841164,110.98625103470656,-0.0030284430883817937,51.96629213483146,RandomForest
MSFT,0.019188800328289568,0.012592745602574916,138.176350855872,0.010196309705721607,51.40449438202247,RandomForest
NVDA,0.025126761688519957,0.018588549562744746,104.87690683960571,0.02141696311265373,53.37078651685393,RandomForest
PG,0.012468398046251173,0.009763703285243905,336.0708223749954,-0.006773446923644455,49.71910112359551,RandomForest
XOM,0.015532100029380177,0.012137533499649494,282.35301702452307,0.04366379940879894,52.94117647058824,XGBoost
